"phone_number","attempted","attempts","disposition","support_hopper","environment_thermometer"
"3428148965",TRUE,1,"no answer",,
"8157866437",TRUE,1,"no answer",,
"6718397983",TRUE,1,"survey complete","neither support nor oppose","4"
"6951454573",TRUE,1,"survey complete","somewhat support","2"
"6754616219",TRUE,1,"no answer",,
"3467566382",TRUE,1,"survey complete","somewhat support","8"
"7295649281",TRUE,1,"survey complete","somewhat support","10"
"1678278975",TRUE,1,"survey complete","strongly oppose","5"
"1795741289",TRUE,1,"no answer",,
"2179147386",TRUE,1,"survey complete","somewhat support","9"
"3948328716",TRUE,1,"no answer",,
"8471274268",TRUE,2,"no answer",,
"5489874518",TRUE,1,"survey complete","neither support nor oppose","4"
"6874756239",TRUE,2,"no answer",,
"5375812958",TRUE,1,"no answer",,
"8257293645",TRUE,1,"no answer",,
"1941488473",TRUE,1,"no answer",,
"6211957613",TRUE,1,"no answer",,
"3742847214",TRUE,1,"no answer",,
"4769676524",TRUE,1,"no answer",,
"5911372176",TRUE,1,"survey complete","somewhat oppose","9"
"9643572196",TRUE,1,"survey complete","somewhat oppose","9"
"2737694163",TRUE,1,"survey complete","somewhat support","10"
"1623175627",TRUE,1,"no answer",,
"8172433712",TRUE,1,"no answer",,
"1499262318",TRUE,1,"no answer",,
"4321626381",TRUE,1,"no answer",,
"9344137658",TRUE,1,"no answer",,
"9648179315",TRUE,1,"no answer",,
"4658569867",TRUE,2,"survey complete","neither support nor oppose","10"
"4366787493",TRUE,1,"survey complete","somewhat support","4"
"7536943749",TRUE,1,"no answer",,
"3828358547",TRUE,1,"no answer",,
"6728976589",TRUE,1,"no answer",,
"7244398346",TRUE,1,"no answer",,
"2745674186",TRUE,1,"survey complete","somewhat support","8"
"6159381937",TRUE,1,"survey complete","neither support nor oppose","6"
"5296837468",TRUE,2,"no answer",,
"4239872593",TRUE,1,"no answer",,
"8212818347",TRUE,1,"no answer",,
"4765491426",TRUE,1,"no answer",,
"8954835198",TRUE,1,"survey complete","somewhat support","10"
"5795381896",TRUE,1,"survey complete","strongly oppose","10"
"4168627234",TRUE,2,"no answer",,
"4134765941",TRUE,1,"survey complete","somewhat oppose","9"
"1985817549",TRUE,2,"survey complete","strong support","10"
"8218437953",TRUE,1,"no answer",,
"7155141532",TRUE,1,"no answer",,
"7937627815",TRUE,1,"survey complete","somewhat support","9"
"7917583857",TRUE,1,"no answer",,
"8323142146",TRUE,1,"no answer",,
"2949454512",TRUE,1,"no answer",,
"1343571356",TRUE,1,"no answer",,
"8971295647",TRUE,2,"no answer",,
"2767252561",TRUE,1,"no answer",,
"8716232361",TRUE,1,"survey complete","somewhat oppose","9"
"9152383814",TRUE,1,"no answer",,
"4921652598",TRUE,1,"no answer",,
"6128241263",TRUE,2,"survey complete","somewhat support","4"
"9581245138",TRUE,2,"no answer",,
"2912517462",TRUE,1,"no answer",,
"9734398163",TRUE,1,"no answer",,
"1272173427",TRUE,1,"survey complete","neither support nor oppose","10"
"3594397629",TRUE,1,"no answer",,
"1562674589",TRUE,1,"no answer",,
"3255741724",TRUE,1,"no answer",,
"3688169368",TRUE,1,"no answer",,
"1878456314",TRUE,2,"no answer",,
"8673728257",TRUE,1,"no answer",,
"9829353697",TRUE,1,"survey complete","neither support nor oppose","8"
"1642649362",TRUE,1,"no answer",,
"3856922846",TRUE,1,"no answer",,
"6814276259",TRUE,1,"no answer",,
"4295493728",TRUE,1,"no answer",,
"3471528341",TRUE,1,"no answer",,
"5463163827",TRUE,1,"survey complete","somewhat support","10"
"7437181295",TRUE,1,"no answer",,
"1924753759",TRUE,1,"survey complete","neither support nor oppose","9"
"6378143847",TRUE,1,"no answer",,
"4929131864",TRUE,1,"survey complete","somewhat oppose","8"
"5845673691",TRUE,1,"survey complete","somewhat oppose","4"
"6341857285",TRUE,1,"no answer",,
"5317258236",TRUE,1,"survey complete","somewhat support","9"
"7622538197",TRUE,2,"no answer",,
"1265782385",TRUE,1,"no answer",,
"9157187148",TRUE,1,"no answer",,
"8734836735",TRUE,2,"no answer",,
"5789619723",TRUE,1,"no answer",,
"3479377945",TRUE,1,"no answer",,
"9132862413",TRUE,1,"no answer",,
"2411679567",TRUE,1,"survey complete","neither support nor oppose","9"
"3461658457",TRUE,1,"survey complete","somewhat support","8"
"7695239735",TRUE,1,"no answer",,
"1371655924",TRUE,2,"no answer",,
"3129715819",TRUE,1,"survey complete","somewhat oppose","5"
"9269711679",TRUE,1,"no answer",,
"8733921987",TRUE,1,"no answer",,
"6528411492",TRUE,2,"survey complete","strong support","9"
"3268938651",TRUE,1,"no answer",,
"2855361863",TRUE,1,"no answer",,
"2452133275",TRUE,2,"survey complete","somewhat support","8"
"3465139527",TRUE,1,"no answer",,
"6858562976",TRUE,1,"no answer",,
"1384617642",TRUE,1,"no answer",,
"4372315794",TRUE,1,"no answer",,
"5843798451",TRUE,1,"no answer",,
"7838132157",TRUE,1,"no answer",,
"1922568245",TRUE,2,"survey complete","strong support","9"
"1547158946",TRUE,1,"no answer",,
"3569641653",TRUE,1,"no answer",,
"8598136834",TRUE,2,"no answer",,
"2369518594",TRUE,1,"no answer",,
"2469655792",TRUE,1,"no answer",,
"5378266831",TRUE,1,"survey complete","somewhat support","9"
"5427962417",TRUE,1,"no answer",,
"5679636815",TRUE,1,"no answer",,
"5133789132",TRUE,1,"no answer",,
"7342383126",TRUE,1,"no answer",,
"5326981289",TRUE,1,"no answer",,
"1455412416",TRUE,1,"no answer",,
"3976518973",TRUE,1,"no answer",,
"6312735691",TRUE,2,"no answer",,
"5746747843",TRUE,1,"survey complete","neither support nor oppose","9"
"6825326519",TRUE,2,"no answer",,
"8973527913",TRUE,1,"no answer",,
"8315628126",TRUE,2,"no answer",,
"6577344298",TRUE,1,"no answer",,
"2755346831",TRUE,1,"survey complete","somewhat support","10"
"6931685298",TRUE,2,"survey complete","somewhat oppose","refused"
"5824651563",TRUE,1,"no answer",,
"8248619152",TRUE,1,"no answer",,
"8794898794",TRUE,1,"no answer",,
"3676485179",TRUE,1,"no answer",,
"9813174751",TRUE,1,"survey complete","strong support","10"
"6452489165",TRUE,1,"no answer",,
"8272358542",TRUE,1,"survey complete","somewhat support","5"
"8471388542",TRUE,1,"no answer",,
"2419157615",TRUE,2,"no answer",,
"5481598152",TRUE,1,"survey complete","somewhat support","5"
"2453126317",TRUE,1,"no answer",,
"3714184362",TRUE,2,"survey complete","somewhat support","5"
"2835631349",TRUE,1,"no answer",,
"1798641546",TRUE,2,"survey complete","somewhat oppose","9"
"3597564675",TRUE,1,"no answer",,
"6393517169",TRUE,1,"no answer",,
"4164354536",TRUE,2,"no answer",,
"1972578957",TRUE,1,"no answer",,
"8213565369",TRUE,2,"no answer",,
"8479278527",TRUE,1,"no answer",,
"3726188936",TRUE,1,"survey complete","somewhat oppose","8"
"2754958271",TRUE,1,"no answer",,
"7656271358",TRUE,1,"no answer",,
"3677531956",TRUE,1,"no answer",,
"6832515312",TRUE,1,"no answer",,
"8642431869",TRUE,2,"no answer",,
"6834721528",TRUE,2,"no answer",,
"9284681645",TRUE,1,"no answer",,
"6796134615",TRUE,1,"no answer",,
"4531621698",TRUE,1,"no answer",,
"1697689264",TRUE,1,"no answer",,
"3917166129",TRUE,1,"no answer",,
"8918679213",TRUE,1,"survey complete","somewhat support","9"
"2949435412",TRUE,2,"survey complete","strong support","5"
"3651542395",TRUE,2,"no answer",,
"6145494168",TRUE,2,"no answer",,
"2183861396",TRUE,1,"no answer",,
"2688594168",TRUE,1,"no answer",,
"4716955317",TRUE,2,"no answer",,
"6283648173",TRUE,1,"no answer",,
"2945939354",TRUE,1,"no answer",,
"8957133194",TRUE,1,"no answer",,
"7844593782",TRUE,1,"no answer",,
"3917934125",TRUE,1,"no answer",,
"8726826983",TRUE,1,"no answer",,
"5973163251",TRUE,1,"survey complete","strong support","10"
"6311488437",TRUE,1,"no answer",,
"9342475619",TRUE,1,"no answer",,
"8351538569",TRUE,1,"no answer",,
"4235179523",TRUE,1,"no answer",,
"4956589163",TRUE,1,"no answer",,
"7253195649",TRUE,1,"survey complete","somewhat support","5"
"3659252438",TRUE,2,"survey complete","somewhat support","5"
"8452148763",TRUE,1,"no answer",,
"2852362859",TRUE,1,"no answer",,
"5369857198",TRUE,1,"no answer",,
"8395197694",TRUE,1,"survey complete","somewhat support","9"
"8493856487",TRUE,1,"no answer",,
"2151753167",TRUE,1,"no answer",,
"7596247589",TRUE,1,"no answer",,
"6918174378",TRUE,1,"no answer",,
"6231937652",TRUE,1,"no answer",,
"8161933742",TRUE,1,"no answer",,
"4519817691",TRUE,1,"no answer",,
"1751853416",TRUE,1,"no answer",,
"8291343491",TRUE,1,"survey complete","somewhat oppose","9"
"7582479783",TRUE,1,"no answer",,
"6343716429",TRUE,1,"survey complete","somewhat oppose","5"
"8374251837",TRUE,2,"no answer",,
"9523819412",TRUE,2,"no answer",,
"1587146174",TRUE,1,"no answer",,
"9868369278",TRUE,1,"no answer",,
"9522751365",TRUE,1,"survey complete","somewhat support","10"
"2618913486",TRUE,1,"no answer",,
"4623853156",TRUE,1,"survey complete","neither support nor oppose","3"
"9618725469",TRUE,1,"no answer",,
"7436416579",TRUE,1,"no answer",,
"8936148427",TRUE,1,"no answer",,
"2946298267",TRUE,1,"no answer",,
"1285923517",TRUE,1,"no answer",,
"1583612964",TRUE,1,"no answer",,
"8355829473",TRUE,1,"survey complete","neither support nor oppose","5"
"6842372916",TRUE,1,"no answer",,
"2948239152",TRUE,2,"no answer",,
"2733859315",TRUE,1,"survey complete","somewhat support","7"
"9211528615",TRUE,1,"no answer",,
"7651595261",TRUE,1,"no answer",,
"2944753967",TRUE,1,"no answer",,
"4365179538",TRUE,2,"no answer",,
"5986831953",TRUE,1,"no answer",,
"3521783985",TRUE,1,"no answer",,
"6528146829",TRUE,2,"survey complete","strong support","5"
"7599872583",TRUE,1,"survey complete","somewhat support","9"
"6786272168",TRUE,1,"no answer",,
"3925814729",TRUE,1,"no answer",,
"5278634159",TRUE,1,"no answer",,
"9633187562",TRUE,1,"no answer",,
"6438527459",TRUE,1,"no answer",,
"9453792349",TRUE,1,"survey complete","somewhat support","6"
"3193641547",TRUE,1,"no answer",,
"8123781837",TRUE,1,"no answer",,
"9514728594",TRUE,1,"no answer",,
"4682891567",TRUE,1,"no answer",,
"5478191923",TRUE,1,"no answer",,
"6352862689",TRUE,1,"no answer",,
"6281674235",TRUE,1,"no answer",,
"4839166185",TRUE,1,"no answer",,
"2847648249",TRUE,1,"no answer",,
"7527367842",TRUE,1,"no answer",,
"4832565698",TRUE,2,"no answer",,
"4973717128",TRUE,1,"no answer",,
"2458655142",TRUE,1,"survey complete","neither support nor oppose","8"
"3584815462",TRUE,1,"no answer",,
"2956399681",TRUE,1,"no answer",,
"1631588317",TRUE,1,"no answer",,
"1372758163",TRUE,1,"no answer",,
"8498348732",TRUE,1,"no answer",,
"8144785741",TRUE,1,"no answer",,
"3617465317",TRUE,1,"no answer",,
"5186923279",TRUE,1,"no answer",,
"4857135324",TRUE,1,"survey complete","somewhat support","7"
"9353842713",TRUE,1,"survey complete","somewhat support","8"
"3978538541",TRUE,1,"survey complete","somewhat support","7"
"1479344986",TRUE,1,"no answer",,
"3257839457",TRUE,1,"no answer",,
"7383944897",TRUE,1,"no answer",,
"5727389623",TRUE,1,"no answer",,
"2791784839",TRUE,1,"no answer",,
"2188723574",TRUE,2,"survey complete","strong support","10"
"4168945894",TRUE,1,"survey complete","somewhat oppose","10"
"1496828376",TRUE,1,"no answer",,
"2894755894",TRUE,2,"no answer",,
"1295782861",TRUE,1,"survey complete","somewhat support","9"
"2793411984",TRUE,1,"no answer",,
"9347942691",TRUE,1,"survey complete","neither support nor oppose","10"
"6315181486",TRUE,1,"no answer",,
"4162689436",TRUE,1,"survey complete","somewhat oppose","5"
"9477894957",TRUE,1,"no answer",,
"9473569342",TRUE,1,"survey complete","somewhat oppose","9"
"5284322765",TRUE,1,"no answer",,
"1253679763",TRUE,1,"no answer",,
"1737938651",TRUE,2,"no answer",,
"5915947625",TRUE,1,"no answer",,
"5826352853",TRUE,1,"no answer",,
"9144324128",TRUE,1,"no answer",,
"5697857418",TRUE,1,"no answer",,
"9789635689",TRUE,1,"no answer",,
"9647435694",TRUE,1,"no answer",,
"2582399463",TRUE,1,"no answer",,
"5693982359",TRUE,1,"no answer",,
"9247485647",TRUE,2,"no answer",,
"6456946743",TRUE,1,"no answer",,
"7389684371",TRUE,1,"no answer",,
"8576353182",TRUE,1,"no answer",,
"7643746298",TRUE,1,"no answer",,
"2787612895",TRUE,1,"survey complete","somewhat oppose","9"
"9123456348",TRUE,1,"partial survey","neither support nor oppose",
"6512967425",TRUE,2,"survey complete","neither support nor oppose","8"
"7356982594",TRUE,1,"no answer",,
"4571638731",TRUE,1,"no answer",,
"7812962179",TRUE,1,"no answer",,
"2413257918",TRUE,1,"no answer",,
"9257342854",TRUE,1,"no answer",,
"3274676871",TRUE,1,"no answer",,
"7168756857",TRUE,2,"no answer",,
"6586419624",TRUE,1,"no answer",,
"6786325734",TRUE,1,"no answer",,
"1765897284",TRUE,1,"no answer",,
"1533864829",TRUE,1,"no answer",,
"9414373697",TRUE,1,"no answer",,
"9311395962",TRUE,1,"no answer",,
"8746877428",TRUE,1,"no answer",,
"1724218975",TRUE,1,"survey complete","neither support nor oppose","5"
"8173486741",TRUE,1,"no answer",,
"3213247145",TRUE,1,"survey complete","neither support nor oppose","9"
"3215847246",TRUE,1,"no answer",,
"4166757268",TRUE,2,"survey complete","neither support nor oppose","9"
"1948611342",TRUE,2,"no answer",,
"7462866127",TRUE,1,"no answer",,
"2618256143",TRUE,1,"survey complete","somewhat oppose","10"
"5964678756",TRUE,2,"survey complete","somewhat oppose","9"
"1848959451",TRUE,2,"no answer",,
"5219385862",TRUE,1,"no answer",,
"2191421237",TRUE,1,"no answer",,
"7138536184",TRUE,2,"no answer",,
"7892197164",TRUE,1,"no answer",,
"3279343948",TRUE,1,"no answer",,
"6725895376",TRUE,1,"no answer",,
"1594671283",TRUE,1,"survey complete","somewhat support","9"
"8431596158",TRUE,2,"no answer",,
"1961785128",TRUE,1,"no answer",,
"5184831798",TRUE,1,"no answer",,
"8641697184",TRUE,1,"no answer",,
"7846749263",TRUE,1,"no answer",,
"5372595172",TRUE,1,"survey complete","somewhat support","3"
"8961635986",TRUE,1,"no answer",,
"7953781952",TRUE,1,"no answer",,
"5286355472",TRUE,1,"no answer",,
"9311682135",TRUE,1,"no answer",,
"3981277895",TRUE,2,"no answer",,
"7597813769",TRUE,1,"no answer",,
"7343491493",TRUE,1,"no answer",,
"6811588394",TRUE,1,"no answer",,
"9175971953",TRUE,1,"no answer",,
"9538491498",TRUE,1,"no answer",,
"2343275837",TRUE,2,"survey complete","refused","9"
"1745268349",TRUE,2,"no answer",,
"4523462469",TRUE,1,"survey complete","neither support nor oppose","7"
"7311683481",TRUE,1,"no answer",,
"3516971947",TRUE,1,"no answer",,
"1529415341",TRUE,2,"no answer",,
"5844535749",TRUE,1,"no answer",,
"2978521795",TRUE,1,"no answer",,
"7855617621",TRUE,1,"no answer",,
"6238496782",TRUE,1,"no answer",,
"7825385623",TRUE,1,"no answer",,
"1948624157",TRUE,1,"survey complete","neither support nor oppose","7"
"4365714285",TRUE,1,"no answer",,
"1692783125",TRUE,1,"no answer",,
"8412714319",TRUE,1,"no answer",,
"4592168539",TRUE,1,"no answer",,
"1595325129",TRUE,1,"no answer",,
"3781944897",TRUE,1,"no answer",,
"8698796798",TRUE,2,"no answer",,
"8211838267",TRUE,1,"no answer",,
"6835969564",TRUE,1,"no answer",,
"6159685236",TRUE,2,"survey complete","neither support nor oppose","9"
"2479248231",TRUE,1,"no answer",,
"1299856594",TRUE,1,"no answer",,
"3678738974",TRUE,1,"no answer",,
"4813696754",TRUE,2,"no answer",,
"7959588425",TRUE,2,"no answer",,
"3915271348",TRUE,1,"no answer",,
"1955286197",TRUE,1,"no answer",,
"7523199134",TRUE,1,"no answer",,
"5345981732",TRUE,1,"no answer",,
"4571235623",TRUE,1,"no answer",,
"3627956574",TRUE,2,"no answer",,
"6523248256",TRUE,1,"survey complete","somewhat support","10"
"8121951943",TRUE,1,"no answer",,
"8161325876",TRUE,1,"no answer",,
"1467614351",TRUE,1,"no answer",,
"7626832158",TRUE,1,"no answer",,
"3671648152",TRUE,1,"no answer",,
"8639862985",TRUE,2,"no answer",,
"7263783564",TRUE,1,"survey complete","somewhat support","5"
"2636982965",TRUE,1,"survey complete","somewhat support","refused"
"9542657329",TRUE,2,"no answer",,
"7165287458",TRUE,1,"no answer",,
"5643424976",TRUE,2,"no answer",,
"7597866832",TRUE,1,"no answer",,
"8364971596",TRUE,1,"no answer",,
"8634521237",TRUE,1,"no answer",,
"6497614123",TRUE,1,"no answer",,
"8917412459",TRUE,1,"no answer",,
"4759286712",TRUE,1,"no answer",,
"8466716287",TRUE,2,"no answer",,
"1934835412",TRUE,1,"no answer",,
"5836377189",TRUE,1,"no answer",,
"5694376297",TRUE,1,"survey complete","strong support","10"
"6398943145",TRUE,2,"no answer",,
"7357234386",TRUE,1,"no answer",,
"6242544158",TRUE,1,"no answer",,
"2765748723",TRUE,2,"no answer",,
"3149626547",TRUE,1,"no answer",,
"7585464568",TRUE,1,"no answer",,
"8614917258",TRUE,2,"no answer",,
"6258399187",TRUE,2,"no answer",,
"5735721548",TRUE,1,"survey complete","somewhat support","9"
"7934698356",TRUE,1,"no answer",,
"1892431768",TRUE,1,"survey complete","somewhat support","9"
"4124578135",TRUE,1,"no answer",,
"7464399168",TRUE,1,"no answer",,
"3571725417",TRUE,2,"survey complete","neither support nor oppose","10"
"1844534916",TRUE,1,"no answer",,
"1871983415",TRUE,2,"no answer",,
"1861799532",TRUE,1,"no answer",,
"4931844317",TRUE,1,"no answer",,
"7382318527",TRUE,1,"survey complete","strong support","10"
"5264957298",TRUE,1,"no answer",,
"8769185812",TRUE,1,"no answer",,
"4594318216",TRUE,2,"no answer",,
"5374276258",TRUE,1,"no answer",,
"2531867365",TRUE,1,"survey complete","somewhat oppose","9"
"3689643517",TRUE,2,"no answer",,
"2151454827",TRUE,2,"no answer",,
"4195323465",TRUE,1,"no answer",,
"4717688431",TRUE,1,"no answer",,
"6737688613",TRUE,1,"no answer",,
"1966981276",TRUE,1,"no answer",,
"8652418457",TRUE,2,"survey complete","somewhat oppose","3"
"3529876953",TRUE,1,"no answer",,
"4326545174",TRUE,1,"no answer",,
"7845146314",TRUE,1,"no answer",,
"5411324713",TRUE,1,"no answer",,
"1288348269",TRUE,1,"survey complete","strong support","9"
"2817961398",TRUE,1,"no answer",,
"1326235214",TRUE,1,"no answer",,
"6171342385",TRUE,1,"survey complete","strong support","4"
"1242179371",TRUE,1,"no answer",,
"8621278126",TRUE,1,"survey complete","strong support","8"
"3846275648",TRUE,1,"no answer",,
"3569517183",TRUE,1,"no answer",,
"2952896539",TRUE,1,"no answer",,
"8361986759",TRUE,1,"no answer",,
"1938563596",TRUE,1,"no answer",,
"1233164857",TRUE,1,"no answer",,
"7434366798",TRUE,1,"no answer",,
"3142781367",TRUE,1,"no answer",,
"1592372179",TRUE,1,"no answer",,
"1474522361",TRUE,1,"no answer",,
"9722582485",TRUE,1,"no answer",,
"8148296923",TRUE,2,"survey complete","somewhat support","10"
"6145486918",TRUE,1,"no answer",,
"2938723981",TRUE,2,"no answer",,
"3485387681",TRUE,1,"no answer",,
"2153485783",TRUE,1,"no answer",,
"4329311597",TRUE,1,"no answer",,
"7862977619",TRUE,1,"survey complete","somewhat oppose","4"
"7343716172",TRUE,2,"no answer",,
"1427313815",TRUE,1,"no answer",,
"3915232834",TRUE,1,"survey complete","somewhat oppose","10"
"8148617685",TRUE,1,"no answer",,
"7421422693",TRUE,1,"no answer",,
"9781689346",TRUE,1,"no answer",,
"7837651748",TRUE,1,"no answer",,
"3842853516",TRUE,1,"no answer",,
"3479857342",TRUE,2,"no answer",,
"6272769842",TRUE,2,"no answer",,
"2189636791",TRUE,1,"survey complete","strong support","8"
"1464398254",TRUE,1,"survey complete","somewhat support","10"
"8734864726",TRUE,1,"survey complete","somewhat support","4"
"2366714631",TRUE,2,"no answer",,
"8214294915",TRUE,1,"survey complete","somewhat oppose","9"
"6593563896",TRUE,1,"no answer",,
"2895276492",TRUE,1,"no answer",,
"5861248792",TRUE,1,"no answer",,
"3167963592",TRUE,1,"no answer",,
"4364539812",TRUE,1,"no answer",,
"6435198247",TRUE,1,"no answer",,
"1594939634",TRUE,1,"survey complete","neither support nor oppose","9"
"4579149652",TRUE,1,"survey complete","somewhat support","2"
"6174516352",TRUE,1,"no answer",,
"2632465876",TRUE,1,"survey complete","somewhat support","7"
"2915417893",TRUE,1,"survey complete","neither support nor oppose","8"
"5388735634",TRUE,2,"no answer",,
"6852173217",TRUE,2,"survey complete","somewhat oppose","7"
"4652161748",TRUE,1,"no answer",,
"7234584168",TRUE,1,"no answer",,
"3258471374",TRUE,1,"survey complete","somewhat support","3"
"5977134216",TRUE,1,"no answer",,
"8475293529",TRUE,2,"no answer",,
"9673426134",TRUE,1,"no answer",,
"4914262413",TRUE,2,"survey complete","somewhat oppose","7"
"5138346574",TRUE,1,"no answer",,
"6986152149",TRUE,1,"no answer",,
"8544376752",TRUE,1,"no answer",,
"9844823246",TRUE,2,"no answer",,
"1671524613",TRUE,2,"no answer",,
"1868476458",TRUE,2,"no answer",,
"6513284972",TRUE,1,"no answer",,
"7356435482",TRUE,1,"no answer",,
"7464137851",TRUE,1,"survey complete","neither support nor oppose","4"
"2378157156",TRUE,1,"no answer",,
"7987213286",TRUE,1,"no answer",,
"1482412465",TRUE,2,"survey complete","somewhat oppose","10"
"6722876243",TRUE,1,"survey complete","strong support","6"
"7362188714",TRUE,1,"no answer",,
"8423273248",TRUE,1,"no answer",,
"3279329264",TRUE,1,"no answer",,
